,TP,assignee_id
463,1.0,org_pG5f6uaa3ijEZB8xAqv3
464,1.0,org_HglfDdEjKVwJR4PNjUCY
465,1.0,org_MR4U1ouyeo5KivRWv5IO
466,14.0,org_K3VRl531Udqf0ldlUV6n
467,10.0,org_MeRfcBI6djMMMRltnb4M
468,1.0,org_oYMhXxmD5QPCmNdUdcxO
469,7.0,org_GNygmFyUGwSHXOY9OrD5
470,2.0,org_26CFBFeheyP18lK10pFB
471,7.0,org_lKXyumgI5ylOg5cVMrWu
472,4.0,org_PmtbdCe3uwvartipK9fH
473,2.0,org_SfdwaRXrAee9VM11bF4h
474,1.0,org_oWJWueJ28TYVmdnjzKJz
475,2.0,org_bDANfqiSqIoWcmE6P9Li
476,17.0,org_aaWrGCyPYJPlHnNMl1cF
477,5.0,org_aHYaJtWRnxGPmNlfDHvl
478,15.0,org_3pxo8p76KLbFvYAvVkCA
479,68.0,org_NA0Yk9r5nx5908EmxOzP
480,5.0,org_a69chpVVJyqhaeIXkLK6
481,1.0,org_KXmK9Wg5hUtxXtiSu7do
482,1.0,org_OJulUdtt4SGcHCRKTXF0
483,1.0,org_8B1eytBvdR3IMRZeKMFG
484,27.0,org_yjOU0JJWLPI7pJbYyxnp
485,5.0,org_DAK1g8RepHn0zEQQ99xj
486,1.0,org_n1PJy7qCuiwlNXsCObaq
487,1.0,org_Xb8ro11jBqQ9JWcG0PV2
488,25.0,org_Oaj8caZeT4BojR9Wv2zA
489,1.0,org_uF3ckSVzhIMZnyOAY4iP
490,4.0,org_8vC7jlNHOOcYgV7ncA71
491,28.0,org_snTo4aOsxVm0Yi2l2qBA
492,1.0,org_WNJkMcjtyM732fVChinG
493,1.0,org_5wO6NmibwtwQaQNBUSnp
494,4.0,org_5pP4dXC2tqBTmJ37SBxj
495,25.0,org_jmOC8OmvA51BlfHOQ8pB
496,46.0,org_CvlKjaN5SOIibry9hiqj
